__time,/vrpn_client_node/turtlebot7/pose/header/stamp,/vrpn_client_node/turtlebot7/pose/pose/orientation/pitch_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/roll_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/w,/vrpn_client_node/turtlebot7/pose/pose/orientation/x,/vrpn_client_node/turtlebot7/pose/pose/orientation/y,/vrpn_client_node/turtlebot7/pose/pose/orientation/yaw_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/z,/vrpn_client_node/turtlebot7/pose/pose/position/x,/vrpn_client_node/turtlebot7/pose/pose/position/y,/vrpn_client_node/turtlebot7/pose/pose/position/z
1690687175.587801,1689261204.415972,2.270194,0.985227,0.035508,-0.019493,0.009291,175.948773,0.999136,3.325287,5.879592,0.178019
1690687175.587846,1689261204.424392,2.265577,0.993788,0.035625,-0.019449,0.009366,175.935521,0.999132,3.325296,5.879583,0.178032
1690687175.587883,1689261204.432882,2.262306,0.978396,0.035504,-0.019426,0.009229,175.949037,0.999138,3.325283,5.879604,0.178042
1690687175.587910,1689261204.441030,2.271886,0.985825,0.035497,-0.019508,0.009296,175.950091,0.999136,3.325277,5.879606,0.178031
1690687175.587942,1689261204.457924,2.268920,0.990795,0.035476,-0.019480,0.009338,175.952531,0.999137,3.325292,5.879623,0.178037
1690687175.587977,1689261204.466218,2.268926,0.993530,0.035564,-0.019479,0.009364,175.942500,0.999134,3.325282,5.879631,0.178040
1690687175.588030,1689261204.474256,2.268169,0.997060,0.035512,-0.019472,0.009393,175.948591,0.999135,3.325300,5.879623,0.178034
1690687175.588059,1689261204.482640,2.259678,0.993150,0.035521,-0.019399,0.009357,175.947432,0.999137,3.325286,5.879631,0.178035
1690687175.588095,1689261204.490974,2.269568,0.995633,0.035523,-0.019484,0.009382,175.947327,0.999135,3.325294,5.879621,0.178027
1690687175.595110,1689261204.507740,2.255141,0.987611,0.035541,-0.019361,0.009308,175.944938,0.999137,3.325292,5.879617,0.178042
1690687175.603557,1689261204.516211,2.266694,0.986835,0.035567,-0.019461,0.009305,175.942044,0.999135,3.325294,5.879607,0.178031
1690687175.611997,1689261204.524547,2.261133,0.986080,0.035518,-0.019414,0.009296,175.947546,0.999137,3.325291,5.879607,0.178027
1690687175.629334,1689261204.541491,2.269427,0.972423,0.035504,-0.019490,0.009179,175.949038,0.999137,3.325285,5.879578,0.178024
1690687175.645500,1689261204.558003,2.278310,0.991233,0.035643,-0.019561,0.009348,175.933444,0.999129,3.325275,5.879584,0.178040
1690687175.653114,1689261204.565997,2.271009,0.985330,0.035590,-0.019499,0.009293,175.939456,0.999133,3.325291,5.879598,0.178040
1690687175.661919,1689261204.574316,2.265885,0.989839,0.035599,-0.019453,0.009331,175.938473,0.999133,3.325296,5.879607,0.178037
1690687175.670190,1689261204.582645,2.269139,0.993610,0.035578,-0.019481,0.009365,175.940966,0.999133,3.325283,5.879613,0.178030
