__time,/vrpn_client_node/turtlebot7/pose/header/stamp,/vrpn_client_node/turtlebot7/pose/pose/orientation/pitch_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/roll_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/w,/vrpn_client_node/turtlebot7/pose/pose/orientation/x,/vrpn_client_node/turtlebot7/pose/pose/orientation/y,/vrpn_client_node/turtlebot7/pose/pose/orientation/yaw_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/z,/vrpn_client_node/turtlebot7/pose/pose/position/x,/vrpn_client_node/turtlebot7/pose/pose/position/y,/vrpn_client_node/turtlebot7/pose/pose/position/z
1690687607.828264,1689262589.514456,1.202892,0.926001,-0.143585,-0.011549,0.006488,-163.478177,0.989549,3.058843,5.933609,0.174554
1690687607.829937,1689262589.522546,1.198295,0.917555,-0.143611,-0.011499,0.006421,-163.475312,0.989547,3.058839,5.933616,0.174564
1690687607.847024,1689262589.539171,1.212499,0.920997,-0.143656,-0.011626,0.006432,-163.469838,0.989538,3.058847,5.933614,0.174541
1690687607.847594,1689262589.539243,1.203541,0.919750,-0.143574,-0.011546,0.006434,-163.479518,0.989551,3.058832,5.933613,0.174543
1690687607.863753,1689262589.556042,1.209710,0.926321,-0.143529,-0.011608,0.006483,-163.484550,0.989557,3.058835,5.933599,0.174558
1690687607.872090,1689262589.564276,1.212937,0.924096,-0.143492,-0.011633,0.006460,-163.488803,0.989562,3.058834,5.933588,0.174549
1690687607.879990,1689262589.572529,1.208826,0.916197,-0.143576,-0.011588,0.006396,-163.479206,0.989551,3.058837,5.933581,0.174556
1690687607.897445,1689262589.589413,1.206058,0.913276,-0.143564,-0.011560,0.006375,-163.480713,0.989553,3.058835,5.933574,0.174550
1690687607.905082,1689262589.597455,1.205010,0.921329,-0.143467,-0.011560,0.006447,-163.491808,0.989567,3.058835,5.933587,0.174552
1690687607.913799,1689262589.606080,1.203841,0.919893,-0.143505,-0.011549,0.006435,-163.487426,0.989561,3.058837,5.933589,0.174559
1690687607.921706,1689262589.614197,1.201878,0.921131,-0.143576,-0.011534,0.006448,-163.479242,0.989551,3.058837,5.933592,0.174554
