__time,/vrpn_client_node/turtlebot7/pose/header/stamp,/vrpn_client_node/turtlebot7/pose/pose/orientation/pitch_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/roll_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/w,/vrpn_client_node/turtlebot7/pose/pose/orientation/x,/vrpn_client_node/turtlebot7/pose/pose/orientation/y,/vrpn_client_node/turtlebot7/pose/pose/orientation/yaw_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/z,/vrpn_client_node/turtlebot7/pose/pose/position/x,/vrpn_client_node/turtlebot7/pose/pose/position/y,/vrpn_client_node/turtlebot7/pose/pose/position/z
1690687396.085169,1689261895.414412,2.239203,0.436334,-0.104595,0.019034,-0.005829,167.998493,-0.994316,3.466332,5.950235,0.180946
1690687396.085223,1689261895.430789,2.231818,0.444980,-0.104588,0.018962,-0.005897,167.999407,-0.994317,3.466339,5.950237,0.180943
1690687396.085427,1689261895.447530,2.237349,0.445006,-0.104566,0.019010,-0.005902,168.002013,-0.994319,3.466331,5.950249,0.180944
1690687396.099772,1689261895.464320,2.240680,0.445731,-0.104592,0.019039,-0.005912,167.998957,-0.994315,3.466335,5.950240,0.180937
1690687396.116672,1689261895.481246,2.237307,0.450580,-0.104640,0.019005,-0.005952,167.993589,-0.994311,3.466327,5.950245,0.180942
1690687396.124249,1689261895.489107,2.238480,0.446133,-0.104651,0.019019,-0.005914,167.992173,-0.994310,3.466337,5.950234,0.180941
1690687396.133362,1689261895.497814,2.233517,0.444323,-0.104641,0.018977,-0.005894,167.993336,-0.994312,3.466324,5.950218,0.180935
1690687396.141262,1689261895.505836,2.231192,0.453267,-0.104695,0.018949,-0.005970,167.987246,-0.994306,3.466329,5.950225,0.180930
1690687396.237439,1689261895.522837,2.224780,0.448613,-0.104651,0.018898,-0.005923,167.992190,-0.994312,3.466322,5.950230,0.180931
1690687396.238152,1689261895.530791,2.234876,0.442185,-0.104599,0.018991,-0.005876,167.998172,-0.994316,3.466329,5.950231,0.180947
1690687396.238240,1689261895.555858,2.233957,0.440821,-0.104657,0.018984,-0.005864,167.991389,-0.994310,3.466321,5.950242,0.180945
1690687396.238284,1689261895.564298,2.238051,0.456053,-0.104675,0.019006,-0.006000,167.989639,-0.994307,3.466345,5.950249,0.180936
1690687396.238338,1689261895.580850,2.234502,0.450711,-0.104618,0.018980,-0.005950,167.996051,-0.994314,3.466344,5.950247,0.180930
1690687396.238367,1689261895.589396,2.241010,0.451417,-0.104724,0.019035,-0.005964,167.983899,-0.994301,3.466332,5.950243,0.180932
1690687396.238411,1689261895.597761,2.245703,0.445738,-0.104682,0.019082,-0.005918,167.988688,-0.994305,3.466341,5.950238,0.180941
1690687396.249649,1689261895.614217,2.236461,0.455283,-0.104780,0.018992,-0.005994,167.977514,-0.994296,3.466327,5.950241,0.180938
1690687396.250369,1689261895.614285,2.241292,0.441851,-0.104667,0.019047,-0.005880,167.990285,-0.994308,3.466322,5.950215,0.180951
1690687396.266479,1689261895.630827,2.236848,0.443516,-0.104669,0.019007,-0.005890,167.990110,-0.994308,3.466332,5.950232,0.180939
1690687396.274748,1689261895.639200,2.238314,0.436794,-0.104599,0.019026,-0.005832,167.998008,-0.994315,3.466321,5.950231,0.180938
1690687396.283925,1689261895.647590,2.237083,0.447448,-0.104600,0.019006,-0.005923,167.998134,-0.994315,3.466335,5.950239,0.180943
