__time,/vrpn_client_node/turtlebot7/pose/header/stamp,/vrpn_client_node/turtlebot7/pose/pose/orientation/pitch_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/roll_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/w,/vrpn_client_node/turtlebot7/pose/pose/orientation/x,/vrpn_client_node/turtlebot7/pose/pose/orientation/y,/vrpn_client_node/turtlebot7/pose/pose/orientation/yaw_deg,/vrpn_client_node/turtlebot7/pose/pose/orientation/z,/vrpn_client_node/turtlebot7/pose/pose/position/x,/vrpn_client_node/turtlebot7/pose/pose/position/y,/vrpn_client_node/turtlebot7/pose/pose/position/z
1690686513.935637,1689261542.105799,1.817616,1.386346,-0.205477,-0.018009,0.008575,-156.258407,0.978459,3.240921,5.839215,0.176615
1690686513.948106,1689261542.122527,1.815191,1.371667,-0.205525,-0.017962,0.008453,-156.253063,0.978451,3.240942,5.839200,0.176621
1690686513.956788,1689261542.131284,1.814661,1.376220,-0.205468,-0.017965,0.008494,-156.259603,0.978462,3.240927,5.839209,0.176601
1690686513.964512,1689261542.139107,1.817162,1.373714,-0.205524,-0.017983,0.008467,-156.253152,0.978450,3.240941,5.839201,0.176618
1690686513.972896,1689261542.147545,1.810529,1.369722,-0.205558,-0.017919,0.008445,-156.249355,0.978445,3.240946,5.839196,0.176603
1690686513.981725,1689261542.155862,1.815646,1.377485,-0.205415,-0.017976,0.008504,-156.265833,0.978473,3.240950,5.839194,0.176604
1690686514.051921,1689261542.172641,1.806870,1.368155,-0.205508,-0.017885,0.008439,-156.255208,0.978456,3.240949,5.839207,0.176618
1690686514.055492,1689261542.181095,1.811420,1.384661,-0.205504,-0.017953,0.008571,-156.255372,0.978454,3.240957,5.839201,0.176610
1690686514.055533,1689261542.189248,1.810126,1.382124,-0.205466,-0.017937,0.008553,-156.259803,0.978462,3.240945,5.839217,0.176611
1690686514.055594,1689261542.205940,1.810875,1.385082,-0.205461,-0.017949,0.008577,-156.260417,0.978463,3.240953,5.839213,0.176615
1690686514.055625,1689261542.206017,1.813300,1.384382,-0.205450,-0.017968,0.008567,-156.261614,0.978465,3.240940,5.839226,0.176623
1690686514.055681,1689261542.222756,1.813002,1.382566,-0.205431,-0.017962,0.008552,-156.263894,0.978469,3.240928,5.839217,0.176597
1690686514.056567,1689261542.230786,1.813643,1.386022,-0.205427,-0.017974,0.008580,-156.264292,0.978470,3.240940,5.839214,0.176615
1690686514.064808,1689261542.239197,1.817931,1.385335,-0.205464,-0.018010,0.008566,-156.259934,0.978462,3.240940,5.839205,0.176615
1690686514.081467,1689261542.255932,1.817529,1.378298,-0.205458,-0.017994,0.008507,-156.260804,0.978464,3.240927,5.839192,0.176599
1690686514.097714,1689261542.272751,1.815167,1.375260,-0.205548,-0.017969,0.008484,-156.250334,0.978445,3.240936,5.839195,0.176612
1690686514.106194,1689261542.281117,1.810283,1.372566,-0.205482,-0.017922,0.008471,-156.258202,0.978460,3.240937,5.839204,0.176612
1690686514.114477,1689261542.289453,1.811094,1.371682,-0.205541,-0.017928,0.008461,-156.251204,0.978448,3.240941,5.839195,0.176605
1690686514.122245,1689261542.297474,1.807741,1.376669,-0.205496,-0.017907,0.008510,-156.256513,0.978457,3.240944,5.839202,0.176613
1690686514.140621,1689261542.314262,1.809242,1.381480,-0.205491,-0.017929,0.008548,-156.256965,0.978457,3.240944,5.839214,0.176609
1690686514.148317,1689261542.322889,1.808761,1.380245,-0.205438,-0.017922,0.008540,-156.263237,0.978469,3.240940,5.839234,0.176608
1690686514.156007,1689261542.330883,1.818587,1.380383,-0.205451,-0.018006,0.008523,-156.261469,0.978465,3.240939,5.839228,0.176615
1690686514.164457,1689261542.339176,1.819165,1.387913,-0.205410,-0.018024,0.008587,-156.266175,0.978472,3.240935,5.839235,0.176623
